topic,author_id
Furious Pete,16
John Philip Sousa,16
Virtual reality,16
Blank Space,16
Queen,16
United States Army Band,16
Predator,16
Republic of Korea Naval Special Warfare Flotilla,16
Jay Leno's Garage,16
Scared Straight!,16
Academi,16
Jurassic World,16
Body worn video,16
Slipknot,16
Military reserve force,16
Frigate,16
John Cena,16
Veganism,16
Squad automatic weapon,16
Restrepo,16
Movieclips,16
Snake,16
Nautical fiction,16
Harlem Shake (meme),16
"Courtesy of the Red, White and Blue (The Angry American)",16
2nd Battalion 7th Marines,16
Intermittent fasting,16
Air Force Reserve Officer Training Corps,16
Explosion,16
Real Time with Bill Maher,16
Supercarrier,16
Enrique Iglesias,16
Beretta,16
Rape,16
Epic,16
Ghost,16
Piers Morgan,16
Pacific Air Forces,16
Kid Cudi,16
Indian Army,16
Milo Yiannopoulos,16
"Survival, Evasion, Resistance and Escape",16
Travis Scott,16
Conspiracy theory,16
1st Infantry Division,16
Ellen DeGeneres,16
Diet,16
Press up,16
Amazing Grace,16
Mk 12 Special Purpose Rifle,16
Strength training,16
Disc jockey,16
Black Friday,16
Search and rescue,16
Dipping tobacco,16
Digital Combat Simulator,16
Carrier strike group,16
Reserve Officer Training Corps,16
Takbir,16
United States Navy Riverine Squadron,16
Animation,16
Brigade,16
Carbine,16
Commencement speech,16
Hopsin,16
Medical evacuation,16
Israel Defense Forces,16
Bass,16
USS George Washington (CVN-73),16
Bruce Lee,16
George Strait,15
Admiral,15
Queen's Guard,15
Shoe,15
Harry Potter literary series,15
Kiss,15
Rascal Flatts,15
Spoken word,15
Air Force Academy,15
Slow Motion,15
Halo: Reach,15
Gears of War,15
Trey Gowdy,15
Air traffic control,15
Eating disorder,15
Airdrop,15
Merle Haggard,15
Photograph,15
Russian Navy,15
Corporal,15
Iran,15
USS Zumwalt (DDG-1000),15
3rd U.S. Infantry Regiment,15
Uniforms of the United States Marine Corps,15
Sam Hunt,15
Iraqi Special Operations Forces,15
Chris Young,15
Revival,15
Polish Armed Forces,15
Camouflage,15
Hiking,15
Concert band,15
Armoured fighting vehicle,15
Concert,15
The Walt Disney Company,15
Mountain Warfare Training Center,15
Judge,15
Chappelle's Show,15
Northrop Grumman EA-6B Prowler,15
Bold Alligator,15
David Bowie,15
Engine,15
United States Naval Sea Cadet Corps,15
Assassin's Creed Victory,15
Tom Clancy's Ghost Recon,15
Saving Private Ryan,15
Saving,15
Sail,15
John Michael Montgomery,15
Two Steps from Hell,15
Chief of Staff of the United States Air Force,15
Draft:Independence Day 2,15
Buttocks,15
The Pentagon,15
Underwater Demolition Team,15
Taya Kyle,15
How-to,15
Netflix,15
Ben Shapiro,15
Mental toughness,15
House music,15
The Beatles,15
Operation Enduring Freedom,15
Tactical Air Control Party,15
Inside the Green Berets,15
Prisoner of war,15
T.I.,15
United States Navy Chaplain Corps,15
Philippines,15
Logic,15
Fifty Shades of Grey,15
Central Intelligence Agency (CIA),15
Osama bin Laden,15
Helocast,15
Straight Outta Compton,15
Paul Walker,15
Marine Corps Base Camp Lejeune,15
LeBron James,15
United States Marine Drum and Bugle Corps,15
Total War,15
One Direction,15
The Fast and the Furious,15
Phalanx CIWS,15
Personal computer,15
Marine Expeditionary Brigade,15
Suicide,15
Marine Corps Air Station Iwakuni,15
SOCOM,14
Laser Weapon System,14
Honor guard,14
Green Day,14
James Corden,14
Aircraft catapult,14
Lip Sync Battle,14
Autonomous sensory meridian response,14
Underwater,14
Infidelity,14
I Marine Expeditionary Force,14
"Springfield Armory, Inc.",14
Madison Rising,14
H1Z1,14
World Trade Center,14
"Floyd Mayweather, Jr.",14
Republican Party,14
Do it yourself,14
New York City Police Department,14
Hospital Corpsman,14
Tik Tok,14
Meditation,14
Last Week Tonight with John Oliver,14
M203 grenade launcher,14
Mashup,14
Pittsburgh Steelers,14
Porsche,14
Special reaction team,14
Donald Glover,14
Odell Beckham Jr.,14
Lockheed Martin C-130J Super Hercules,14
Close-in weapon system,14
M27 Infantry Automatic Rifle,14
Mars,14
Bruce Springsteen,14
Terrorism,14
Microsoft Flight Simulator X,14
Heckler & Koch HK416,14
Trick shot,14
Ray William Johnson,14
Aerobatics,14
Working dog,14
Orchestra,14
DJ Khaled,14
Chief Keef,14
Volleyball,14
Chicken meat,14
Mac Miller,14
MacBook,14
Zombie,14
Mosin–Nagant,14
Future Weapons,14
Penis,14
The Falling Soldier,14
Lieutenant,14
Royal Navy,14
Naruto,14
Lady Gaga,14
Subaru,14
History,14
Battle of Chosin Reservoir,14
Chris Stapleton,14
Tropical cyclone,14
Demi Lovato,14
Iron Man,14
USS Gerald R. Ford,14
Top Gun,14
United States Marine Corps Warfighting Laboratory,14
Army Combat Uniform,14
Android,14
Roblox,14
Resident Evil,14
Lukas Graham,14
FGM-148 Javelin,14
Guard Mounting,14
Israel,14
Family Feud,14
