topic,group,author_id
This Is Gonna Hurt,0070,1
Maritime and Coastguard Agency,0070,1
Craig Morgan,0070,3
AT&T Park,0070,1
Doctor Who,0070,2
USCGC Bertholf (WMSL-750),0070,6
Pirates of the Caribbean,0070,3
Brian Dietzen,0070,1
Spock,0070,1
United States Coast Guard Auxiliary,0070,7
International Harvester,0070,1
Iron Sky: Director's Cut - The Original Film Soundtrack,0070,1
Modern Woodmen of America,0070,1
Adeste Fideles,0070,1
Doctor Who Series 8 (2014),0070,1
Trans-Siberian Orchestra,0070,2
Silent Hill: Revelation 3D,0070,1
Big Head Todd and the Monsters,0070,1
Michael J. Bassett,0070,1
Career,0070,2
Rock Island High School,0070,1
If You're Gone,0070,2
Matchbox Twenty,0070,3
Humans Being,0070,2
Under the Iron Sky,0070,1
Van Halen,0070,7
Apocalyptica,0070,4
Pages,0070,1
Colonial Anthem,0070,1
